ticket_id,employee_name,issue_description,status,exact_error_code,created_at,priority,resolution_notes,system
TKT-10024,[REDACTED_PERSON],MONITORX reporting disk utilization at 91% on NEXACORE-DB primary node. Redo log archive destination will fill in approximately 6 hours.,Resolved,MONITOR-DISK-88A,2024-02-24 19:40,P2,Purged old mail spool files. Implemented log rotation policy. Disk usage reduced to 62%.,NEXACORE-DB
TKT-10008,[REDACTED_PERSON],Multiple employees reporting HRPORTAL session logging them out after 2 minutes of inactivity instead of the configured 30 minutes.,Resolved,HR-SESSION-992,2024-02-28 16:56,P3,Patched HRPORTAL session manager memory leak. Increased session timeout to configured 30 minutes.,HRPORTAL
TKT-10011,[REDACTED_PERSON],APIGATEWAY-V2 returning HTTP 429 to external partner Nexbridge LLC. Their integration is blocked. Rate limit appears misconfigured.,Resolved,API-RATE-4429,2024-03-06 16:30,P3,Corrected rate limit policy file. Restored premium tier consumers to 5000 req/min.,APIGATEWAY-V2
TKT-10083,[REDACTED_PERSON],ERR-AUTH-8801 — AUTH-GATEWAY health check failing after NTP drift caused certificate validity window check to fail. Clocks corrected. Service restored.,Resolved,ERR-AUTH-8801,2024-03-12 17:06,P2,Restored certificate bundle from backup. Restarted AUTH-GATEWAY nginx. Verified health check.,AUTH-GATEWAY
TKT-10014,[REDACTED_PERSON],TLS handshake failure for VPN tunnels established from the Chicago branch office. Affects all 34 employees at that site.,In Progress,VPN-HANDSHAKE-003,2024-03-19 11:48,P2,,
TKT-10052,[REDACTED_PERSON],DB-TIMEOUT-404X on cross-schema join query submitted by [REDACTED_PERSON] for the reporting dashboard. Query plan shows full table scan on 400M row table.,Resolved,DB-TIMEOUT-404X,2024-03-19 16:10,P3,"Optimized query plan by adding composite index on ORDERS(customer_id, created_at). Query now completes in 12 seconds.",
TKT-10082,[REDACTED_PERSON],HR-LDAP-552 during emergency offboarding. Departing employee's LDAP account removal caused cascade group policy failure. AUTH-GATEWAY disruption for 5 minutes.,Resolved,HR-LDAP-552,2024-03-22 17:27,P2,Fixed LDAP group misconfiguration for new employee batch. All 6 users can now access HRPORTAL.,AUTH-GATEWAY
TKT-10080,[REDACTED_PERSON],BUILD-DEP-ERR-21 raised by [REDACTED_PERSON] on behalf of contractor team. Internal npm registry mirror is stale and missing packages published in last 10 days.,Resolved,BUILD-DEP-ERR-21,2024-03-23 14:49,P3,Updated internal npm registry mirror. Resolved deprecated package conflicts.,
TKT-10056,[REDACTED_PERSON],BACKUP-ROTATE-33 third occurrence this month. Tape library robot arm fault causing intermittent failure in offsite rotation. Vendor called.,Escalated,BACKUP-ROTATE-33,2024-03-24 11:22,P2,,
TKT-10047,[REDACTED_PERSON],BACKUP-CHKSUM-77Z second occurrence — nightly backup for NEXACORE-DB FINANCE schema failing. Investigating storage array error rate.,In Progress,BACKUP-CHKSUM-77Z,2024-04-01 14:58,P2,,NEXACORE-DB
TKT-10094,[REDACTED_PERSON],BACKUP-CHKSUM-77Z — Q4 annual backup verification failed on 2 of 8 tape sets. Restore drill scheduled by [REDACTED_PERSON] to confirm recoverability.,In Progress,BACKUP-CHKSUM-77Z,2024-04-17 16:17,P2,,
TKT-10032,[REDACTED_PERSON],APIGATEWAY-V2 consumer TechFusion reporting API-RATE-4429 errors despite being on the premium tier. Rate limiter configuration may be stale.,Resolved,API-RATE-4429,2024-04-18 20:36,P3,Corrected rate limit policy file. Restored premium tier consumers to 5000 req/min.,APIGATEWAY-V2
TKT-10004,[REDACTED_PERSON],CLOUDSYNC-S3 job failed during the 03:00 window. On-premise NAS shares not synced to AWS S3. Critical data exposure risk if prolonged.,In Progress,SYNC-FAIL-2201B,2024-04-19 14:08,P2,,CLOUDSYNC-S3
TKT-10065,[REDACTED_PERSON],BACKUP-CHKSUM-77Z on HRPORTAL database backup. Checksum mismatch detected for personnel_records table dump. [REDACTED_PERSON] and [REDACTED_PERSON] notified.,Escalated,BACKUP-CHKSUM-77Z,2024-04-20 18:21,P2,,HRPORTAL
TKT-10100,[REDACTED_PERSON],FW-IDS-2209 — Snort alert for lateral movement pattern between two internal hosts in ZONE-DEV. [REDACTED_PERSON] leading forensic investigation. TICKETSYS major incident opened.,Escalated,FW-IDS-2209,2024-04-22 06:04,P1,,TICKETSYS
TKT-10033,[REDACTED_PERSON],ERR-AUTH-9092 for all users enrolled in YubiKey MFA after Vault token rotation. Approximately 40 users affected. Business-wide access blocked.,Escalated,ERR-AUTH-9092,2024-04-22 08:32,P2,,
TKT-10060,[REDACTED_PERSON],HR-SYNC-8812 — Workday sync failed to push updated salary data after Q3 pay review approved by [REDACTED_PERSON]. Payslip generation impacted.,Escalated,HR-SYNC-8812,2024-04-22 16:20,P2,,
TKT-10038,[REDACTED_PERSON],VPN-CERT-7731 reported by 12 remote employees following bulk certificate renewal process. Certificates for certain subnets missed in the renewal batch.,Resolved,VPN-CERT-7731,2024-04-27 07:57,P3,Re-issued VPN client certificate via MDM push. User confirmed connectivity restored.,
TKT-10027,[REDACTED_PERSON],Outbound SPF validation failing for emails sent from NEXAMAIL relay host due to IP not being listed in DNS SPF record after infrastructure migration.,Resolved,MAIL-SPF-4401,2024-04-29 19:06,P3,Updated SPF TXT record in DNS to include third-party marketing platform IP range.,NEXAMAIL
TKT-10092,[REDACTED_PERSON],HR-SYNC-8812 — Workday down for maintenance and HRPORTAL sync job did not back off gracefully. Repeated failures flooded TICKETSYS with auto-generated P3s.,Resolved,HR-SYNC-8812,2024-05-03 20:36,P2,Added graceful backoff logic to Workday sync job. Cleared auto-generated P3 tickets from TICKETSYS.,HRPORTAL
TKT-10006,[REDACTED_PERSON],BUILDPIPE-CI pipeline for project Hydra failed at the test-runner stage with exit code 88. All deployments blocked.,In Progress,BUILD-PIPE-ERR-88,2024-05-05 08:29,P2,,BUILDPIPE-CI
TKT-10037,[REDACTED_PERSON],FW-DROP-3341 triggered by MONITORX agent on developer workstation. Developer may have attempted to send Tier 3 data to personal cloud storage.,In Progress,FW-DROP-3341,2024-05-06 09:04,P1,,MONITORX
TKT-10020,[REDACTED_PERSON],"NEXAMAIL queue depth has exceeded 10, 000 messages. Delay of up to 4 hours on email delivery. Investigating relay capacity., 2024-01-23 17:29, P3",Escalated,TKT-10020,2024-05-08 14:55,P3,,NEXAMAIL
TKT-10081,[REDACTED_PERSON],FW-DROP-3341 — DLP engine blocked large data transfer from [REDACTED_PERSON]'s workstation to an S3 bucket. Confirmed authorized compliance evidence export.,Resolved,FW-DROP-3341,2024-05-14 14:48,P1,Confirmed authorized data transfer. Added temporary DLP exception for compliance export.,
TKT-10069,[REDACTED_PERSON],DB-LOCK-1192X involving the AUDIT_LOG table and a maintenance script run by [REDACTED_PERSON]. Long-held lock blocking 15 application queries.,Resolved,DB-LOCK-1192X,2024-05-15 08:15,P2,Identified and resolved deadlock by reordering transaction locks. Added row-level locking hint.,
TKT-10085,[REDACTED_PERSON],DB-CONN-POOL-99 on NEXACORE-DB replica used for reporting. Analytics team running unoptimized queries consuming all available connections.,In Progress,DB-CONN-POOL-99,2024-05-20 09:14,P1,,NEXACORE-DB
TKT-10044,[REDACTED_PERSON],SYNC-HASH-773B on /legal/contracts directory. 3 files with hash mismatch. Legal team has been notified and files are under integrity review.,In Progress,SYNC-HASH-773B,2024-05-22 16:31,P3,,
TKT-10061,[REDACTED_PERSON],DB-CONN-POOL-99 spike during end-of-month reporting. 200 application threads queued waiting for connection. NEXACORE-DB unresponsive for 8 minutes.,Escalated,DB-CONN-POOL-99,2024-05-28 07:54,P1,,NEXACORE-DB
TKT-10077,[REDACTED_PERSON],SYNC-HASH-773B affecting /ops/runbooks S3 sync path. 7 runbook files showing hash mismatch. Possible data corruption in NetApp NAS before sync.,In Progress,SYNC-HASH-773B,2024-05-30 12:10,P3,,
TKT-10096,[REDACTED_PERSON],SYNC-DELTA-441C — CLOUDSYNC-S3 manifest inconsistency found during DR failover test. [REDACTED_PERSON] performing full manifest rebuild. ETA 4 hours.,In Progress,SYNC-DELTA-441C,2024-05-30 19:40,P3,,CLOUDSYNC-S3
TKT-10086,[REDACTED_PERSON],API-TIMEOUT-7720 — investigation reveals APIGATEWAY-V2 is sending JWTs signed with old key after AUTH-GATEWAY key rotation. [REDACTED_PERSON] looped in.,Escalated,API-TIMEOUT-7720,2024-06-01 19:40,P2,,AUTH-GATEWAY
TKT-10057,[REDACTED_PERSON],ERR-AUTH-0041 — LDAP sync failure correlating with Active Directory schema extension deployed by [REDACTED_PERSON]. Auth-GATEWAY schema mapping needs update.,Resolved,ERR-AUTH-0041,2024-06-06 09:03,P3,Updated AUTH-GATEWAY LDAP schema mapping to match new AD schema. Forced full LDAP sync.,AUTH-GATEWAY
TKT-10048,[REDACTED_PERSON],HR-LDAP-552 for onboarding batch — 6 new employees from [REDACTED_PERSON]'s onboarding list cannot access HRPORTAL due to LDAP group misconfiguration.,Resolved,HR-LDAP-552,2024-06-08 12:42,P2,Fixed LDAP group misconfiguration for new employee batch. All 6 users can now access HRPORTAL.,HRPORTAL
TKT-10073,[REDACTED_PERSON],FW-IDS-2209 — Snort alert for command-and-control beacon pattern from a developer workstation. Host quarantined. [REDACTED_PERSON] initiating incident response.,Escalated,FW-IDS-2209,2024-06-10 09:41,P1,,
TKT-10063,[REDACTED_PERSON],FW-DROP-3341 triggered by NEXASEC-FW on [REDACTED_PERSON]'s workstation. Investigation underway. [REDACTED_PERSON] confirms he was running an authorized pen-test tool.,Resolved,FW-DROP-3341,2024-06-22 06:37,P1,Confirmed authorized data transfer. Added temporary DLP exception for compliance export.,NEXASEC-FW
TKT-10084,[REDACTED_PERSON],VPN-HANDSHAKE-003 after NEXASEC-FW TLS policy updated to drop TLS 1.1. Legacy VPN client version 3.2 incompatible. Forced upgrade rollout initiated.,Resolved,VPN-HANDSHAKE-003,2024-06-23 10:09,P2,Upgraded NEXAVPN client from 3.2 to 3.4.1 to support TLS 1.2. Handshake now succeeds.,NEXAVPN
TKT-10021,[REDACTED_PERSON],BUILDPIPE-CI dependency resolver failing for Python microservice. PyPI package version conflict preventing build completion for 3 teams.,Resolved,BUILD-DEP-ERR-21,2024-06-25 15:16,P3,Updated internal npm registry mirror. Resolved deprecated package conflicts.,BUILDPIPE-CI
TKT-10029,[REDACTED_PERSON],NEXASEC-FW detected duplicate and conflicting firewall rules introduced during last maintenance window. Rule evaluation order corrupted.,Resolved,FW-RULE-9910,2024-07-04 15:12,P2,Removed 14 orphaned firewall rules from decommissioned systems. Rule evaluation order restored.,NEXASEC-FW
TKT-10010,[REDACTED_PERSON],NEXABACKUP nightly job failed checksum verification for three database dump files. Backup integrity cannot be confirmed.,Escalated,BACKUP-CHKSUM-77Z,2024-07-04 20:53,P2,,NEXABACKUP
TKT-10062,[REDACTED_PERSON],MAIL-QUEUE-8823 following spam campaign spoofing nexacorp.com domain. Inbound queue flooded with NDR bounce-backs. SPF record tightening required.,Resolved,MAIL-QUEUE-8823,2024-07-12 07:35,P2,Brought NEXAMAIL relay node 2 back online. Queue drained within 45 minutes.,NEXAMAIL
TKT-10025,[REDACTED_PERSON],NEXABACKUP tape rotation job failed. Previous week's tapes not released for offsite collection. Compliance deadline at risk.,In Progress,BACKUP-ROTATE-33,2024-07-13 10:29,P2,,NEXABACKUP
TKT-10070,[REDACTED_PERSON],HR-SESSION-992 reported by 20+ employees simultaneously. Suspected HRPORTAL session manager memory leak after yesterday's patch deployment.,Escalated,HR-SESSION-992,2024-07-13 10:59,P3,,HRPORTAL
TKT-10046,[REDACTED_PERSON],FW-IDS-2209 alert from Snort IDS — brute force pattern detected against AUTH-GATEWAY login endpoint. Source IP blocked. [REDACTED_PERSON] notified.,Escalated,FW-IDS-2209,2024-07-24 10:04,P1,,AUTH-GATEWAY
TKT-10051,[REDACTED_PERSON],APIGATEWAY-V2 developer portal showing outdated API documentation for /v2/payments endpoint. Causing confusion for external developers. Content update needed.,Resolved,API-RATE-4429,2024-08-02 09:28,P3,Corrected rate limit policy file. Restored premium tier consumers to 5000 req/min.,APIGATEWAY-V2
TKT-10055,[REDACTED_PERSON],FW-RULE-9910 detected after [REDACTED_PERSON] requested a temporary exception rule be added. Rule conflicts with existing ZONE-PROD egress policy.,Resolved,FW-RULE-9910,2024-08-04 06:01,P2,Removed 14 orphaned firewall rules from decommissioned systems. Rule evaluation order restored.,
TKT-10091,[REDACTED_PERSON],"MAIL-QUEUE-8823 — mail relay queue depth hit 15, 000 messages after NEXAMAIL relay node 2 crashed during kernel patch. Node 2 brought back online., 2024-05-06 09:04, P3",Resolved,MAIL-QUEUE-8823,2024-08-04 09:59,P2,Brought NEXAMAIL relay node 2 back online. Queue drained within 45 minutes.,NEXAMAIL
TKT-10041,[REDACTED_PERSON],DB-LOCK-1192X triggered between the invoicing and payroll batch jobs. Payroll run delayed by 90 minutes. Finance team notified.,Resolved,DB-LOCK-1192X,2024-08-20 06:46,P2,Identified and resolved deadlock by reordering transaction locks. Added row-level locking hint.,
TKT-10015,[REDACTED_PERSON],CLOUDSYNC-S3 delta manifest file corrupted after unexpected system shutdown. Sync engine cannot compute what changed. Full resync required.,In Progress,SYNC-DELTA-441C,2024-09-05 19:04,P3,,CLOUDSYNC-S3
TKT-10093,[REDACTED_PERSON],MONITOR-ALERT-119 raised by [REDACTED_PERSON] after MONITORX missed alert on NEXACORE-DB CPU spike. PagerDuty integration had stale API token. Token refreshed.,Resolved,MONITOR-ALERT-119,2024-09-09 07:48,P3,Refreshed PagerDuty API token. Alert pipeline restored. CPU spike was caused by batch job.,NEXACORE-DB
TKT-10009,[REDACTED_PERSON],MONITORX threshold-breach alert fired for NEXACORE-DB CPU exceeding 92% sustained for 45 minutes. Investigating root cause.,In Progress,MONITOR-ALERT-119,2024-09-12 12:56,P3,,NEXACORE-DB
TKT-10099,[REDACTED_PERSON],BUILD-PIPE-ERR-88 — intermittent Jenkins agent disconnection causing pipeline failures. Root cause: JVM memory leak in Jenkins LTS 2.414. Upgrading to 2.426.,In Progress,BUILD-PIPE-ERR-88,2024-09-15 15:01,P2,,
TKT-10012,[REDACTED_PERSON],AUTH-GATEWAY showing certificate mismatch error for service accounts used by BUILDPIPE-CI. All pipeline deployments failing as a result.,Escalated,ERR-AUTH-8801,2024-09-16 15:12,P2,,AUTH-GATEWAY
TKT-10088,[REDACTED_PERSON],BUILD-DOCKER-55X — base image for the data-pipeline service using Python 3.9 alpine; three Critical CVEs found. [REDACTED_PERSON] migrating to Python 3.12 slim.,In Progress,BUILD-DOCKER-55X,2024-09-21 13:07,P2,,
TKT-10067,[REDACTED_PERSON],SYNC-FAIL-2201B during DR test. CLOUDSYNC-S3 unable to reach S3 endpoint due to NEXASEC-FW blocking AWS API IP range. FW rule update needed.,Resolved,SYNC-FAIL-2201B,2024-09-27 19:38,P2,Refreshed AWS IAM role credentials for CLOUDSYNC-S3 service account. Sync resumed.,CLOUDSYNC-S3
TKT-10031,[REDACTED_PERSON],Second occurrence of DB-TIMEOUT-404X in 24 hours. Monthly financial reconciliation query timed out again. Requires query plan optimization.,In Progress,DB-TIMEOUT-404X,2024-09-28 20:00,P3,,
TKT-10007,[REDACTED_PERSON],NEXASEC-FW triggered DLP alert — outbound connection to external IP blocked after detecting PII pattern in payload. Source host isolated.,Escalated,FW-DROP-3341,2024-09-29 18:08,P1,,NEXASEC-FW
TKT-10017,[REDACTED_PERSON],NEXACORE-DB connection pool exhausted during peak trading window. Application servers queuing requests. Potential P1 escalation.,Escalated,DB-CONN-POOL-99,2024-10-01 07:59,P1,,NEXACORE-DB
TKT-10050,[REDACTED_PERSON],ERR-AUTH-8801 during AUTH-GATEWAY startup after patch applied by [REDACTED_PERSON]. Certificate bundle was corrupted during deployment. Rollback required.,Resolved,ERR-AUTH-8801,2024-10-01 18:17,P2,Restored certificate bundle from backup. Restarted AUTH-GATEWAY nginx. Verified health check.,AUTH-GATEWAY
TKT-10040,[REDACTED_PERSON],MONITOR-ALERT-119 for NEXAVPN concentrator — packet loss exceeding 5% threshold on primary uplink for 20 minutes.,Escalated,MONITOR-ALERT-119,2024-10-03 18:46,P3,,NEXAVPN
TKT-10087,[REDACTED_PERSON],SYNC-FAIL-2201B — AWS IAM role for CLOUDSYNC-S3 service account lost S3:PutObject permission after [REDACTED_PERSON]'s quarterly IAM policy tightening.,Resolved,SYNC-FAIL-2201B,2024-10-06 07:37,P2,Refreshed AWS IAM role credentials for CLOUDSYNC-S3 service account. Sync resumed.,CLOUDSYNC-S3
TKT-10005,[REDACTED_PERSON],Outbound emails from nexacorp.com domain being rejected by recipient mail servers citing SPF policy violation. Affects all users.,Resolved,MAIL-RELAY-550X,2024-10-08 08:16,P2,Added new relay server IPs to DNS SPF record. Contacted blacklist providers for delisting.,
TKT-10098,[REDACTED_PERSON],ERR-AUTH-9092 — batch MFA reprovisioning after YubiKey firmware update. 15 users required manual Vault re-enrollment. Completed with [REDACTED_PERSON] assistance.,Resolved,ERR-AUTH-9092,2024-10-10 09:37,P2,Re-provisioned MFA token in [REDACTED_PERSON]. User re-enrolled YubiKey successfully.,
TKT-10043,[REDACTED_PERSON],API-TIMEOUT-7720 affecting all OAuth2 clients after AUTH-GATEWAY certificate rotation performed by [REDACTED_PERSON]. JWT signing key changed.,Resolved,API-TIMEOUT-7720,2024-10-14 09:45,P2,Synchronized clocks between API consumer and AUTH-GATEWAY. JWT validation latency resolved.,AUTH-GATEWAY
TKT-10089,[REDACTED_PERSON],"DB-LOCK-1192X — three-way deadlock between order processing, inventory adjustment, and audit logging transactions. Application logic review required., 2024-11-28 11:28, P3",In Progress,DB-LOCK-1192X,2024-10-14 14:16,P2,,
TKT-10071,[REDACTED_PERSON],BUILD-PIPE-ERR-88 — SonarQube quality gate failed for auth-service. Code coverage dropped below 80% threshold after merge. Build gate enforced.,Resolved,BUILD-PIPE-ERR-88,2024-10-25 12:23,P2,Fixed SonarQube quality gate by increasing unit test coverage to 82%. Build passed.,
TKT-10068,[REDACTED_PERSON],ERR-AUTH-9092 for [REDACTED_PERSON] — CTO unable to access any system before board meeting. YubiKey 5 serial number mismatch in Vault. Emergency reprovisioning.,Resolved,ERR-AUTH-9092,2024-10-26 12:57,P2,Re-provisioned MFA token in [REDACTED_PERSON]. User re-enrolled YubiKey successfully.,
TKT-10054,[REDACTED_PERSON],SYNC-DELTA-441C recurrence on the /hr/personnel directory. Root cause identified as concurrent file writes during HRPORTAL data export.,In Progress,SYNC-DELTA-441C,2024-10-28 10:51,P3,,HRPORTAL
TKT-10079,[REDACTED_PERSON],MONITOR-DISK-88A on NEXABACKUP cold storage node. Archive partition at 89% capacity. Retention policy review required with [REDACTED_PERSON].,Resolved,MONITOR-DISK-88A,2024-11-01 13:33,P2,Purged old mail spool files. Implemented log rotation policy. Disk usage reduced to 62%.,NEXABACKUP
TKT-10097,[REDACTED_PERSON],VPN-DNS-1882 — DNS split-tunnel configuration causing resolution failure for *.nexacorp.internal when using third-party DNS resolver. Config corrected.,Resolved,VPN-DNS-1882,2024-11-02 11:31,P2,Corrected DNS split-tunnel configuration for *.nexacorp.internal domain. Flushed DNS cache.,
TKT-10090,[REDACTED_PERSON],FW-RULE-9910 — post-audit by [REDACTED_PERSON] revealed 14 orphaned firewall rules from decommissioned systems. Cleanup completed and verified by [REDACTED_PERSON].,Resolved,FW-RULE-9910,2024-11-12 20:55,P2,Removed 14 orphaned firewall rules from decommissioned systems. Rule evaluation order restored.,
TKT-10035,[REDACTED_PERSON],BUILDPIPE-CI pipeline for customer-portal project erroring at stage 3 (integration tests). BUILD-PIPE-ERR-88 in CI logs. Release delayed by 2 days.,Resolved,BUILD-PIPE-ERR-88,2024-11-21 08:34,P2,Fixed SonarQube quality gate by increasing unit test coverage to 82%. Build passed.,BUILDPIPE-CI
TKT-10002,[REDACTED_PERSON],NEXACORE-DB query running analytics report exceeded 300-second threshold and was killed by Oracle Resource Manager. Report never completed.,In Progress,DB-TIMEOUT-404X,2024-11-21 19:23,P3,,NEXACORE-DB
TKT-10018,[REDACTED_PERSON],Internal DNS resolution failing for all employees on VPN. Systems resolvable by IP but not hostname. Widespread productivity impact.,Resolved,VPN-DNS-1882,2024-11-23 07:01,P2,Corrected DNS split-tunnel configuration for *.nexacorp.internal domain. Flushed DNS cache.,
TKT-10045,[REDACTED_PERSON],BUILD-DEP-ERR-21 for Node.js analytics service. Deprecated npm package causing build chain failure across 5 dependent services.,Resolved,BUILD-DEP-ERR-21,2024-11-23 17:35,P3,Updated internal npm registry mirror. Resolved deprecated package conflicts.,
TKT-10076,[REDACTED_PERSON],MAIL-SPF-4401 — bulk marketing emails sent via third-party platform failing SPF because platform IPs not added to DNS record. Coordinating with marketing team.,Resolved,MAIL-SPF-4401,2024-11-24 11:07,P3,Updated SPF TXT record in DNS to include third-party marketing platform IP range.,
TKT-10039,[REDACTED_PERSON],HR-SESSION-992 reported by [REDACTED_PERSON] — HRPORTAL session timeout occurring mid-performance-review workflow causing data loss.,Resolved,HR-SESSION-992,2024-11-25 13:09,P3,Patched HRPORTAL session manager memory leak. Increased session timeout to configured 30 minutes.,HRPORTAL
TKT-10059,[REDACTED_PERSON],VPN-DNS-1882 affecting employees at the Singapore office after BGP route update. Internal hostnames not resolving correctly through VPN tunnel.,Resolved,VPN-DNS-1882,2024-11-27 07:38,P2,Corrected DNS split-tunnel configuration for *.nexacorp.internal domain. Flushed DNS cache.,
TKT-10053,[REDACTED_PERSON],MONITOR-DISK-88A on NEXAMAIL server. Mail spool directory consuming 94% of allocated volume. Purge required to prevent mail delivery stoppage.,Resolved,MONITOR-DISK-88A,2024-11-28 11:28,P2,Purged old mail spool files. Implemented log rotation policy. Disk usage reduced to 62%.,NEXAMAIL
TKT-10034,[REDACTED_PERSON],SYNC-FAIL-2201B recurrence — third failure this week. AWS S3 API credentials used by CLOUDSYNC-S3 may have expired or been rotated.,Escalated,SYNC-FAIL-2201B,2024-11-28 17:34,P2,,CLOUDSYNC-S3
TKT-10095,[REDACTED_PERSON],API-RATE-4429 — [REDACTED_PERSON] misconfigured rate limit policy file in APIGATEWAY-V2 during a hotfix deployment. All consumers downgraded. Immediately rolled back.,Resolved,API-RATE-4429,2024-12-04 09:49,P3,Corrected rate limit policy file. Restored premium tier consumers to 5000 req/min.,APIGATEWAY-V2
TKT-10028,[REDACTED_PERSON],Docker image for the payments-service failed Trivy security scan. Critical CVE-2024-1234 found in base image. Push to registry blocked.,In Progress,BUILD-DOCKER-55X,2024-12-12 17:57,P2,,
TKT-10066,[REDACTED_PERSON],API-TIMEOUT-7720 spike — 400 events in 1 hour from consumer NexaAnalytics. JWT tokens being rejected due to clock skew between API consumer and AUTH-GATEWAY.,Resolved,API-TIMEOUT-7720,2024-12-14 12:38,P2,Synchronized clocks between API consumer and AUTH-GATEWAY. JWT validation latency resolved.,AUTH-GATEWAY
TKT-10013,[REDACTED_PERSON],Deadlock condition detected in NEXACORE-DB between two batch jobs running concurrently on the ORDERS and INVENTORY schemas.,Resolved,DB-LOCK-1192X,2024-12-19 09:45,P2,Identified and resolved deadlock by reordering transaction locks. Added row-level locking hint.,NEXACORE-DB
TKT-10049,[REDACTED_PERSON],VPN-HANDSHAKE-003 for users on macOS 14.4 Sonoma after OS update. OpenSSL compatibility issue with NEXAVPN client 3.4.1.,In Progress,VPN-HANDSHAKE-003,2024-12-25 20:43,P2,,NEXAVPN
TKT-10023,[REDACTED_PERSON],HRPORTAL users unable to authenticate. LDAP connector to AUTH-GATEWAY returning authentication failure for all AD accounts.,In Progress,HR-LDAP-552,2024-12-26 07:02,P2,,AUTH-GATEWAY
TKT-10042,[REDACTED_PERSON],MAIL-RELAY-550X spike — 600 rejected messages in 15-minute window. External relay blacklist may have flagged NexaCorp IP range.,Escalated,MAIL-RELAY-550X,2024-12-28 16:03,P2,,
TKT-10113,[REDACTED_PERSON],Laptop can't connect to office WiFi after Windows update. Certificate error.,In Progress,VPN-HANDSHAKE-003,2024-01-08 07:59,P3,,
